latitude,longitude,name
39.726326,16.35218,cassano all`ionio|cassano
45.514372,9.512746,cassano d`adda|cassano d'adda
40.869227,15.031213,cassano irpino
44.762631,8.858833,cassano spinola
36.962581,15.191895,cassibile
44.751513,8.533613,cassine
41.484306,13.832125,cassino
45.732291,11.795866,cassola
45.119349,11.403936,castagnaro
43.16816,10.56399,castagneto carducci|castagneto c.
43.168917, 10.563817,castagneto|castagneto carducci-donoratico
44.012359,10.91538,castagno
44.749341,8.152836,castagnole delle lanze|castagnole
45.549534,8.787099,castano primo
45.017365,9.124595,casteggio
42.400183,12.400781,castel bagnolo di orte|castel bagnolo|orte
45.183399,10.97531,castel d`ario|castel d'ario
41.777829,14.112049,castel di sangro
41.746946,12.652266,castel gandolfo
40.787682,15.758093,castel lagopesole|castel lagopes.
41.988389,12.864938,castel madama
42.379666,13.017612,castel s.angelo
40.758713,14.692352,castel s.giorgio roccapiemonte|castel s.giorgio
45.063272,9.436856,castel s.giovanni|castel s.giovan.
44.407376,11.597681,castel s.pietro terme|castel s.p.
46.626994,10.897884,castelbello
44.325391,11.804174,castelbolognese|castelbolognese-riolo terme
38.014606,14.108578,castelbuono
38.060474,13.536867,casteldaccia
46.797708,11.844223,casteldarne
44.503974,11.27456,casteldebole
43.607303,13.357519,castelferretti
43.60542,10.968048,castelfiorentino
40.935968,15.038655,castelfranci
44.597381,11.056408,castelfranco d'emilia|c.franco emilia
44.596944, 11.058015,castelfranco emilia
45.666439,11.934315,castelfranco veneto|castelfranco v.
44.836434,10.176706,castelguelfo
44.986347,8.220882,castell`alfero|castell'alfero
42.69564,13.793043,castellalto canzano|castellalto c.
38.024309,12.912209,castellammare del golfo|castellammare g.
40.701398,14.483737,castellammare di stabia|cast.re di stab.
40.619711,16.929175,castellaneta
40.481111,16.965434,castellaneta marina|castellaneta m.
45.613442,8.893928,castellanza
44.843839,8.589645,castellazzo casalcermelli|castellazzo c.
45.301826,9.76779,castelleone
44.501319,7.463939,castelletto busca|castellet. busca
45.710757,8.638259,castelletto ticino|castelletto tic.
43.408744,11.212379,castellina ch|castellina ch.
43.408915, 11.212291,castellina in chianti-monteriggioni|castellina in chianti
43.406122,10.495776,castellina marittima|castellina marit
44.41657,7.974321,castellino tanaro|castellino t.
44.878648, 8.312903,castello d'annone
44.878742,8.312724,castello d`annone|castel.d'annone
45.688082,11.87759,castello di godego|castello godego
45.144293,10.64749,castellucchio
37.302714,15.137547,castelluccio siculo|castelluc. sic.
44.576055,11.366901,castelmaggiore
44.798127,8.42516,castelnuovo belbo|castelnuovo b.
